Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Fullstack developer,5.0,2020-12-03,Former employee,Equity gave me professional skills and communication skills while enabling me to work under enormous pressure.,Equity is generally a good place to work. No major cons.,Equity
Head-grc,4.0,2016-10-20,"Current employee, more than 1 year",Great place to cut a jacket for productive job.. agile and flexible but also very challenging.,Work life balance hard to achieve,Equity
Head office,1.0,2017-05-04,"Former employee, more than 1 year","Well, some people you work with are really smart. But the downside to that is you feel they are being wasted.",Rules that don't make senseManagement promise heaven then deliver hellMost people are dissatisfied hence offer poor service and are looking to leave all the timeWorst pay in the market  head honchos award themselves salaries almost 1000 times more than some employees.,Equity
Senior relationship manager,5.0,2020-10-08,"Former employee, more than 10 years",Very good learning environment and challenges,Very many employees so no personal touch,Equity
Relationship manager operations,2.0,2016-09-23,"Former employee, more than 3 years",A good start for learners and someone who is eager to learn. There is flexibility in decision making for supervisors,un even salary scales for same level employees,Equity
Senior relationship banker,3.0,2018-07-30,"Current employee, more than 5 years",Best place to get experience and learn all manner of market scenarios,Poor staff vs employer relations. Poor pay,Equity
Customer service supervisor,2.0,2019-09-14,"Former employee, more than 5 years",A good place to start your career before moving to greener pastures,Non defined work. Constant threats,Equity
Cash officer,2.0,2019-03-21,"Current employee, more than 8 years",Good addition to experience gained,"Repetitive work, hence stagnation and an organizational culture that's not friendly staff well being",Equity
Head of project management,3.0,2021-11-18,"Current employee, more than 10 years",Exposure and experience you get. It's a project based organisation.,Hero culture. Poor performance culture. You work but someone else gets the credit,Equity
Senior communication and advertising officer,3.0,2022-02-04,"Current employee, more than 3 years",Job securityTier 1 BankDiverse and high pressure environment,"Work politics Bosses never leave, hence little to no growth in middle leadership levels",Equity
It support officer,5.0,2014-03-12,"Former employee, less than 1 year",You are in position to learn how to manage yourself.,I had to learn some IT concepts which I didn't have.,Equity
"Relationship manager, agency banking",2.0,2017-09-27,"Former employee, more than 8 years",Ability to learn from other departments. Moulding was OK.,Career growth is slow in the bank,Equity
Senior public relations manager,5.0,2020-06-03,"Former employee, more than 3 years",Personal growth is well assured,Slow in salary enhancement delays,Equity
Business development manager,4.0,2021-06-27,Former employee,Good exposure in the banking and marketing world,Limited opportunities to grow your career,Equity
Ict applications support,3.0,2013-12-29,"Current employee, more than 3 years",Excellent exposure to ICT SystemsDynamic environment,Compensation and benefits visavie the work load is lower that industry average,Equity
Equity trader,4.0,2020-11-07,Former employee,it is a good and very financial friendly institution,very time consuming when waiting to be served. queues are so slow,Equity
Senior human resources officer,3.0,2021-04-05,"Current employee, more than 8 years",1. Job Security.2. Friendly employees.,1. No constant salary reviews.2. No bonuses.3. Poor culture,Equity
Senior software developer,4.0,2022-01-31,Current employee,"Developers work remotelyGood projects, innovative","Being a Bank, there's rigidity in accepting newer technologies like cloud",Equity
Junior engineer,2.0,2014-12-14,Current employee,Flexible Working Hours. shifts are allowred,"workincome balance; no chance of growth,",Equity
Grc,4.0,2022-06-10,"Former employee, more than 1 year","Purpose driven inspiring workplace , great for building unique experience",Can be demanding and has heavy workloads,Equity
Project coordinator,5.0,2021-03-18,"Current employee, more than 5 years",A very good place to work with worldclass experience,"none at the moment, the place is very good.",Equity
Actuarial,5.0,2021-04-12,Former employee,"Flexibility, lifelong learning, ability to learn","I was just out of school and found the working environment rigorous, although now I'm ok.",Equity
Program intern,4.0,2022-09-07,Former employee,I worked with a support team that provided resources and mentorship to ensure a smooth transition into my role.,Improve on work life balance,Equity
Senior data engineer,4.0,2022-10-18,"Former employee, more than 1 year","Promising, data driven, great leadership","To keep the company vision and mission alive, one my need to commit extra works hours",Equity
Operations associate,3.0,2022-10-19,"Former employee, more than 3 years",A great place to get experience for beginners,Too much workload with no time to rest,Equity
Financial analyst,4.0,2019-05-16,"Former employee, less than 1 year",Big enough to accommodate wide array of skills,"too compartmentalized,and hard to reach senior management",Equity
Accounts assistant,4.0,2020-08-13,Current employee,Have gained good experience of how to handle and interact with customers,Little care for the employees,Equity
Sro,4.0,2021-11-16,"Former employee, more than 10 years",You learn alotQuick growth if dedicated,High pressure environment and low work life balance,Equity
Senior accountant,3.0,2022-10-14,"Current employee, more than 8 years",Gain quality skills Job security,"Poor work life balance Salary increments, promotions, bonus are not guaranteed Poor staff benefits",Equity
Debt collector,5.0,2022-04-01,Current employee,Efficient and effective in meeting targets and deadlines,Family happens to be a thing that hinders .,Equity
Finance analyst,3.0,2021-05-04,"Former employee, more than 1 year",Great team members and employees,Lack of upward mobility and opportunities for growth.,Equity
Programme analyst,3.0,2021-06-30,Current employee,good learning and professional experience,not recognize your efforts and much work,Equity
Cyber security analyst,5.0,2022-01-26,"Former employee, more than 1 year",Good working team that will guide you,Long hours of work although compensated well,Equity
It security engineer,5.0,2022-02-16,Current employee, fast paced and growing bank, the dependency on group makes it hard to apply yourself,Equity
Ecommerce manager,3.0,2022-03-25,"Current employee, more than 8 years",Great learning environment. You'll learn a lot here.,Low pay for huge work load,Equity
Monitoring analyst,4.0,2022-05-18,Former employee,Very goodVery good environment for learning and TeamworkCareer growth,"Not really, its a preatty cool workplaceNet pay maybebut very okay",Equity
Senior credit analyst,5.0,2022-07-06,Current employee,Perfect employee relations. Kudos Equity,None so far. Enjoying everything.,Equity
Payables accountant,2.0,2022-10-24,"Former employee, more than 3 years"," affordable loans, though better employee rates exist in the market"," toxic work environment, poor pay",Equity
User experience designer,3.0,2017-05-11,"Former employee, less than 1 year",Great innovative workplace and workmates are really friendly,Overall company culture could improve,Equity
Agency banking manager,3.0,2019-09-13,"Former employee, more than 3 years",Unit of Purpose. Team work among staff is super,Staff benefits not much considered,Equity
Middle level management,3.0,2021-01-17,Former employee,Great experience due to the size of the bank,Too bureaucratic and can get quite political,Equity
Manual tester,5.0,2021-02-24,"Former employee, more than 5 years",best place to work in kenya,a lot of work with little pay,Equity
Senior project manager,4.0,2022-02-26,"Current employee, more than 5 years",result oriented and dynamic employer,"too much pressure, slow career progression",Equity
Senior android engineer,5.0,2022-07-07,Current employee,The company is doing great thingsAccess to learning resourcesTeam workTeam building,The company is doing great things,Equity
Associate director - it,3.0,2022-09-24,"Current employee, more than 10 years",Exciting problems to solveAmbitious organizationPays relatively well,Lots of politicsUnmotivated staffLack of matured governance,Equity
Retail manager,4.0,2022-10-13,Current employee,A champion regarding financial inclusion in Africa,Could make a better use of the talents inside the company,Equity
Teller intern,3.0,2016-04-29,"Former employee, less than 1 year",Good colleaguesExposure to meaningful projects,Slow promotionSalary not so competitive for low level employees.,Equity
Civil engineer,4.0,2020-10-21,Former employee,its a good place to work,no realy bad sentiments about this employer.,Equity
Aml compliance analyst,3.0,2022-03-30,"Current employee, more than 8 years",Vast experience because of a huge portfolio,Growth level is a bit slow because of many employees,Equity
Legal,3.0,2022-10-05,Former employee,Company enlighten me in areas of client engagement,The work environment was not conducive for growth and development,Equity
Senior internal auditor,4.0,2021-10-12,"Former employee, more than 5 years",Multicultural environment. Wider room to experience different areas/products.,Lower pay compared to peers.,Equity
Software test engineer,4.0,2022-01-19,Current employee,Nice people to work with especially for junior staff,Inability to climb up the ladder,Equity
Senior media buyer,3.0,2022-02-16,Current employee,Loan interests for staff is lowDiverse learning opportunities,Strict dress code and overall look for employees,Equity
Merchant acquisition specialist,2.0,2022-05-09,"Former employee, more than 8 years",Good in getting experience especially for entrants to the banking sector.,"Poor remuneration, not good for longterm employment.",Equity
Finance intern,4.0,2020-06-28,"Former employee, more than 1 year",Working in different departments in the bank,Long working hours from Monday to Saturday,Equity
Big data engineer,5.0,2022-01-20,"Current employee, more than 8 years",The best company to work for in East Africa,Equity bank has no cons,Equity
Test engineer,5.0,2022-01-22,"Current employee, more than 3 years",Great working environment and people.,Non experienced so far. Maybe pressure,Equity
Call center representative,3.0,2022-01-27,Current employee,Nothing good about the entry level position,Workload No family time. Boring environmentNot recommendable,Equity
Finance,5.0,2022-06-08,Former employee,"Awesome, great, amazing, flexible, adaptable",There were no cons while working with previous employer,Equity
Kyc officer,5.0,2022-07-19,"Current employee, more than 3 years",Good benefits come with the job,No so many cons but I’d say Saturday work,Equity
Market research intern,4.0,2020-09-02,"Former employee, less than 1 year",Good relationship with employees. It's like a community.,I loved my experience with them.,Equity
Sales associate/cashier,5.0,2021-04-18,"Former employee, more than 1 year",good working conditions and understanding team,"poor networking,no promotion,no compensation,low pension",Equity
Solutions architect,5.0,2021-09-16,"Current employee, more than 1 year",Remote workGreat managersAwesome support from HR,None that I can think of.,Equity
Universal banker,4.0,2021-11-03,Current employee,Full time basis permanent and pensionable,Small salary for fresh graduates,Equity
Associate,4.0,2021-11-27,Former employee,Worth it in every aspect,A lot of workload especially for a 85 Job,Equity
Client service executive,3.0,2021-12-21,"Current employee, less than 1 year","Team work is amazing, diaspora team",Leadership level quite difficult to attain. May take years,Equity
Executive assistant,4.0,2022-08-02,"Current employee, more than 5 years",Line manager helps with your review,Long working hours some times,Equity
Regional manager,5.0,2022-10-30,Current employee,Strategy execution is well done,salary should be reviewed upwards to match the industry,Equity
Business support manager,2.0,2020-10-22,Current employee,Continous expansion to other countries. More opportunities for growth,Not the best payment plan around,Equity
Consumer loan officer,5.0,2020-11-27,"Current employee, more than 5 years",Very smooth working processAnd supportive management,Working almost 13 hrs a day,Equity
Systems engineer,5.0,2021-04-30,Current employee,Good working and learning environment,Long working hours including weekends,Equity
Sales officer,4.0,2022-02-18,Current employee,It was a good place,It was too far away from my home,Equity
Project & planning engineer,4.0,2022-11-09,Former employee,Nice working environment and good colleagues,Long hours for working and low pay,Equity
It test engineer,4.0,2017-05-26,"Current employee, more than 3 years",work culture is awesome professional colleagues,Compensation and benefits are not okay,Equity
Systems analyst,3.0,2020-07-23,Former employee,A lot of exposure when it comes to projects,pays long time employees poorly,Equity
R o,3.0,2021-02-16,"Former employee, more than 5 years",it's a good organizational and stepping stoneto growth,bad working environment due to pressure,Equity
Marketing specialist,3.0,2022-10-23,"Former employee, less than 1 year",Good management with regard to the CEO,internal competition from the staff members,Equity
Micro credit officer,4.0,2021-07-10,Former employee,Good Training and Mentorship Programmes,Long working hours on some days,Equity
Human resources director,5.0,2022-01-23,"Current employee, more than 5 years",Pays well and good working environment,Tiresome and swollen time taking,Equity
Trade operations,3.0,2022-03-03,"Current employee, more than 1 year",Great learning and development environment,Low remuneration compared to work load,Equity
Educational program coordinator,4.0,2022-10-18,Former employee,exposure to working experience and growth,limited career paths for growth,Equity
Credit control and monitoring specialist,4.0,2021-04-27,Current employee,Its good position with growth,Wide area of duties to handle,Equity
Risk manager,4.0,2021-10-05,Current employee,flexible working conditions at bank,"working hours not flexible, 85",Equity
Client relationship specialist,3.0,2022-03-01,Current employee,Team work and good benefits,slow personal and financial growth,Equity
Personal banker ii,3.0,2022-03-18,"Current employee, more than 8 years",No compliant fair and motivating,Always busy can't do anything else,Equity
Planning officer,4.0,2022-03-31,Former employee,have good medical covers for employees,terms of employment are contract,Equity
Senior business analyst,4.0,2022-05-14,Current employee,Has good Learning potential for staff,Working schedule is not flexible,Equity
Senior program manager,3.0,2016-05-02,Former employee,Potential for great social impact,Can be slow at times,Equity
Ban assurance officer,1.0,2022-10-17,"Former employee, more than 1 year",Medical insurance cover. Low interest loans for staff,Bad management Less than appropriate pay Extremely long work hours Extensive workload Toxic work culture,Equity
Channel administrative,1.0,2013-10-09,"Former employee, more than 5 years",exposure and experience good. growth too possible,"work environment not good, need to improve a lot on HR related issues",Equity
